Price,Address,City,Bedrooms,Baths,Area,Type
80000000,"Green Palms Farmhouses, Bedian Road",Lahore,3,4,4.00 Kanal,Farm House
39000000,"Bedian Road, Lahore",Lahore,1,1,6.00 Kanal,Farm House
42500000,"Bedian Road, Lahore",Lahore,2,2,4.50 Kanal,Farm House
120000000,"Bedian Road, Lahore",Lahore,4,4,12.00 Kanal,Farm House
56000000,"Bedian Road, Lahore",Lahore,1,1,8.00 Kanal,Farm House
40000000,"Bedian Road, Lahore",Lahore,2,2,4.90 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,3,4,4.00 Kanal,Farm House
17600000,"Orchard Greenz, Bedian Road",Lahore,4,5,4.00 Kanal,Farm House
95000000,"Barki Road, Cantt",Lahore,4,4,3.00 Kanal,Farm House
117000000,"Barki Road, Cantt",Lahore,2,2,6.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,4,4,4.00 Kanal,Farm House
18000000,"Orchard Greenz, Bedian Road",Lahore,1,1,4.00 Kanal,Farm House
51000000,"Thethar, Lahore",Lahore,2,3,4.00 Kanal,Farm House
4500000,"Bedian Road, Lahore",Lahore,3,4,1.00 Kanal,Farm House
140000000,"Bedian Road, Lahore",Lahore,4,5,10.50 Kanal,Farm House
455000000,"Bedian Road, Lahore",Lahore,1,1,76.00 Kanal,Farm House
120000000,"Bedian Road, Lahore",Lahore,4,5,8.00 Kanal,Farm House
15000000,"Barki Road, Cantt",Lahore,1,1,2.50 Kanal,Farm House
40000000,"Bedian Road, Lahore",Lahore,1,1,4.00 Kanal,Farm House
4500000,"Orchard Greenz, Bedian Road",Lahore,3,5,1.00 Kanal,Farm House
9000000,"Orchard Greenz, Bedian Road",Lahore,4,5,2.00 Kanal,Farm House
4500000,"Orchard Greenz, Bedian Road",Lahore,3,4,1.00 Kanal,Farm House
140000000,"Bedian Road, Lahore",Lahore,5,6,9.00 Kanal,Farm House
40500000,"DHA Phase 10, DHA Defence",Lahore,2,2,8.00 Kanal,Farm House
190000000,"GT Road, Lahore",Lahore,4,6,48.00 Kanal,Farm House
90000000,"Barki Road, Cantt",Lahore,6,6,6.00 Kanal,Farm House
25000000,"DHA Phase 6, DHA Defence",Lahore,2,2,1.00 Kanal,Farm House
25000000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
4500000,"Orchard Greenz, Bedian Road",Lahore,5,6,1.00 Kanal,Farm House
55000000,"Thethar, Lahore",Lahore,2,3,4.00 Kanal,Farm House
37500000,"Barki Road, Cantt",Lahore,3,3,4.00 Kanal,Farm House
80000000,"Green Palms Farmhouses, Bedian Road",Lahore,4,4,4.00 Kanal,Farm House
74500000,"Paradise Homes Bedian Road, Bedian Road",Lahore,6,6,4.00 Kanal,Farm House
70000000,"Bedian Road, Lahore",Lahore,2,3,21.00 Kanal,Farm House
16000000,"Barki Road, Cantt",Lahore,1,1,2.00 Kanal,Farm House
140000000,"Bedian Road, Lahore",Lahore,3,4,8.00 Kanal,Farm House
60000000,"Bedian Road, Lahore",Lahore,2,2,6.00 Kanal,Farm House
180000000,"Bedian Road, Lahore",Lahore,3,3,16.00 Kanal,Farm House
24000000,"Bedian Road, Lahore",Lahore,1,1,8.00 Kanal,Farm House
50000000,"Bedian Road, Lahore",Lahore,4,4,3.00 Kanal,Farm House
42000000,"Bedian Road, Lahore",Lahore,4,4,4.00 Kanal,Farm House
22500000,"Bedian Road, Lahore",Lahore,2,2,1.00 Kanal,Farm House
140000000,"Bedian Road, Lahore",Lahore,4,4,8.00 Kanal,Farm House
18000000,"SJ Canal Farms, Bedian Road",Lahore,1,2,4.00 Kanal,Farm House
25000000,"DHA Phase 10, DHA Defence",Lahore,2,2,4.00 Kanal,Farm House
115000000,"Bedian Road, Lahore",Lahore,5,5,4.00 Kanal,Farm House
68000000,"Bedian Road, Lahore",Lahore,3,3,4.50 Kanal,Farm House
9000000,"Bedian Road, Lahore",Lahore,2,3,2.00 Kanal,Farm House
7000000,"Swiss Farms, Bedian Road",Lahore,1,1,1.00 Kanal,Farm House
16500000,"Bedian Road, Lahore",Lahore,2,1,5.25 Kanal,Farm House
115000000,"Bedian Road, Lahore",Lahore,3,3,10.00 Kanal,Farm House
63000000,"Barki Road, Cantt",Lahore,1,2,12.00 Kanal,Farm House
120000000,"Bedian Road, Lahore",Lahore,5,6,8.00 Kanal,Farm House
85000000,"Bedian Road, Lahore",Lahore,4,4,4.00 Kanal,Farm House
65000000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
45000000,"Bedian Road, Lahore",Lahore,2,3,2.00 Kanal,Farm House
65000000,"Bedian Road, Lahore",Lahore,4,4,14.00 Kanal,Farm House
70000000,"Bedian Road, Lahore",Lahore,5,5,3.60 Kanal,Farm House
400000000,"Swiss Farms, Bedian Road",Lahore,1,1,68.00 Kanal,Farm House
26000000,"DHA Phase 10, DHA Defence",Lahore,2,2,4.00 Kanal,Farm House
75000000,"Bedian Road, Lahore",Lahore,4,4,4.20 Kanal,Farm House
55000000,"Barki Road, Cantt",Lahore,2,2,4.50 Kanal,Farm House
700000000,"Raiwind Road, Lahore",Lahore,5,5,78.00 Kanal,Farm House
62500000,"Barki Road, Cantt",Lahore,4,5,2.50 Kanal,Farm House
180000000,"Barki, Barki Road",Lahore,5,5,9.00 Kanal,Farm House
65000000,"Bedian Road, Lahore",Lahore,2,2,4.13 Kanal,Farm House
75000000,"Bedian Road, Lahore",Lahore,3,3,8.00 Kanal,Farm House
75000000,"DHA Phase 9 Prism, DHA Defence",Lahore,4,4,4.00 Kanal,Farm House
220000000,"Bedian Road, Lahore",Lahore,4,4,16.00 Kanal,Farm House
7500000,"Bedian Road, Lahore",Lahore,1,1,1.00 Kanal,Farm House
7500000,"Swiss Farms, Bedian Road",Lahore,1,1,4.00 Kanal,Farm House
120000000,"Thethar, Lahore",Lahore,4,5,12.00 Kanal,Farm House
42500000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
220000000,"Sofia Farm Houses, Bedian Road",Lahore,4,5,16.00 Kanal,Farm House
55000000,"Bedian Road, Lahore",Lahore,4,5,8.00 Kanal,Farm House
45000000,"Bedian Road, Lahore",Lahore,4,4,4.00 Kanal,Farm House
35000000,"Barki Road, Cantt",Lahore,3,3,4.00 Kanal,Farm House
280000000,"Bedian Road, Lahore",Lahore,5,5,16.00 Kanal,Farm House
80000000,"Barki Road, Cantt",Lahore,3,4,5.00 Kanal,Farm House
